Judul,Jenis Jurnal
An Improvement for Background Modelling using a Mixture of Gaussian and Region Growing in Moving Objects Detection,penelitian
An improvement for background modelling using a mixture of gaussian and region growing in moving objects detection,penelitian
An optimum hyperparameters of restnet-50 for orchid classification based on convolutional neural network,penelitian
"Analisa Prakiraan Cuaca dengan Parameter Suhu, Kelembaban, Tekanan Udara, dan Kecepatan Angin Menggunakan Regresi Linear Berganda",penelitian
ANALISA SENTIMEN RESPON MASYARAKAT TERHADAP COVID 19 BERBASIS LINEAR SUPPORT VECTOR MACHINE,penelitian
Analisis Faktor Pembentuk Kepuasan Mahasiswa,penelitian
Analisis framing pemberitaan generasi milenial dan pemerintah terkait Covid-19 di media online,penelitian
Analisis Hiperrealitas pada Film Aquaman sebagai Komoditas Kekuatan Kapitalis,penelitian
Analisis Jaringan Komunikasi Kelompok Tani Dalam Penerapan Budi Daya Padi Metode System of Rice Intensification (Sri),penelitian
Analisis Kemenarikan User Interface dengan Gaya Desain Skeuomorphism dari Sudut Pandang Desainer (Studi kasus: Aplikasi 76 Synthesizer),penelitian
Analisis Keterampilan Proses Sains Dasar (Kpsd) Peserta Didik Pada Pembelajaran Kimia Model Pjbl Berbantuan Lkpd,penelitian
Analisis Ketercapaian Program Guru Penggerak PAUD dalam Penerapan Pembelajaran Berdiferensiasi yang Berpusat pada Anak,penelitian
ANALISIS KOMPARASI GESTURE KARAKTER BARAT DAN TIMUR BERDASARKAN ARCHETYPE DARI FILM ANIMASI MUSIKAL “FROZEN” DAN “MERAIH MIMPI”,penelitian
ANALISIS KOMPARASI GESTURE KARAKTER BARAT DAN TIMUR BERDASARKAN ARCHETYPE DARI FILM ANIMASI MUSIKAL “FROZEN” DAN “MERAIH MIMPI”,penelitian
ANALISIS KOMPONEN VISUAL DASAR SINEMATOGRAFI DALAM FILM LIVE ACTION “GREEN BOOK”,penelitian
Analisis Komponen Visual Dasar Sinematografi Dalam Film Live Action “Green Book”,penelitian
ANALISIS MAKNA DALAM VIDEO IKLAN ILM PENCEGAHAN STUNTING 60 DETIK PADA YOUTUBE KEMENTERIAN KESEHATAN RI,penelitian
Analisis media edukasi puzzle untuk pendidikan karakter anak usia dini,penelitian
Analisis media edukasi puzzle untuk pendidikan karakter anak usia dini,penelitian
Analisis Metode Ensemble Pada Klasifikasi Penyakit Jantung Berbasis Decision Tree,penelitian
Analisis Metode Ensemble Pada Klasifikasi Penyakit Jantung Berbasis Decision Tree,penelitian
Analisis Model Pengetahuan untuk Indigenous Knowledge management Tembang Macapat,penelitian
Analisis Naratif sebagai Kajian Teks Pada Film,penelitian
Analisis Nilai Sosial dalam Iklan Gojek Edisi “Jangan Sepelekan Kekuatan Jempol” di Youtube,penelitian
"Analisis Optimasi Algoritma Decision Tree, Logistic Regression dan SVM Menggunakan Soft Voting",penelitian
"Analisis Optimasi Algoritma Decision Tree, Logistic Regression dan SVM Menggunakan Soft Voting",penelitian
Analisis Pengalaman Pengguna pada Website Program Studi Desain Komunikasi Visual Universitas Dian Nuswantoro,penelitian
Analisis Pengalaman Pengguna pada Website Program Studi Desain Komunikasi Visual Universitas Dian Nuswantoro,penelitian
Analisis Perbandingan Algoritma Machine Learning untuk Prediksi Potensi Hilangnya Nasabah Bank,penelitian
Analisis Perbandingan Algoritma Naive Bayes Classifier dan Support Vector Machine untuk Klasifikasi Berita Hoax pada Berita Online Indonesia,penelitian
Analisis Perbandingan Algoritma Naive Bayes Classifier dan Support Vector Machine untuk Klasifikasi Berita Hoax pada Berita Online Indonesia,penelitian
Analisis Perubahan Trend Iklan Gojek Versi Video Animasi Dalam Sudut Pandang Media Dependency,penelitian
Analisis Perubahan Trend Iklan Gojek Versi Video Animasi Dalam Sudut Pandang Media Dependency,penelitian
Analisis Reaksi Customer Loyal Scarlett Whitening pada Misleading Advertising Paris Fashion Show 2022,penelitian
Analisis Sentimen Masyarakat terhadap Layanan Shopeefood Melalui Media Sosial Twitter dengan Algoritma Naïve Bayes Classifier,penelitian
Analisis Sentimen Menggunakan Metode Naïve Bayes Untuk Mengetahui Respon Masyarakat Terhadap Vaksinasi,penelitian
Analisis Sentimen Menggunakan Metode Naïve Bayes Untuk Mengetahui Respon Masyarakat Terhadap Vaksinasi,penelitian
Analisis Sentimen Twitter untuk Menilai Opini Terhadap Perusahaan Publik Menggunakan Algoritma Deep Neural Network,penelitian
ANALISIS SIGN (TANDA) PADA DESAIN REMAKE COVER NOVEL “THE HOUND OF THE BASKERVILLES” KARYA ARTHUR CONAN DOYLE,penelitian
ANALISIS SIGN (TANDA) PADA DESAIN REMAKE COVER NOVEL “THE HOUND OF THE BASKERVILLES” KARYA ARTHUR CONAN DOYLE,penelitian
ANALISIS STRATEGI KOMUNIKASI PEMASARAN MELALUI PROGRAM NGICIP TVKU DALAM MEMPROMOSIKAN UMKM DI KOTA SEMARANG PADA PERKUMPULAN RANGKUL,penelitian
Analisis Tata Kelola Sistem Informasi SKCK Online pada Kantor Pelayanan SKCK Polrestabes Kota Semarang Menggunakan Framework COBIT 5 DSS 02,penelitian
Analisis Tata Kelola Teknologi Informasi Menggunakan COBIT 5.0 Domain DSS 01 Pada PDAM Kota Tegal,penelitian
Analisis Teks Berita Anak Berlabel Broken Home di Media Online,penelitian
ANALISIS TINDAK TUTUR HUMAS PT. KERETA API INDONESIA (PERSERO) DAERAH OPERASI 4 SEMARANG DALAM MENSOSIALISASIKAN SOP TENTANG REKOMENDASI IBU HAMIL  (STUDI KASUS IBU MELAHIRKAN DI KA KERTAJAYA LEBARAN),penelitian
Analisis Topic-Modelling Menggunakan Latent Dirichlet Allocation (LDA) Pada Ulasan Sosial Media Youtube,penelitian
Analisis Topic-Modelling Menggunakan Latent Dirichlet Allocation (LDA) Pada Ulasan Sosial Media Youtube,penelitian
Analisis Usability pada Aplikasi Trans Semarang dengan Metode Heuristics Evaluation,penelitian
Analisis Usability pada Aplikasi Trans Semarang dengan Metode Heuristics Evaluation,penelitian
Analisis User Interface Game “Babybus Kids” Sub Topik Penyelamat dalam Gempa menggunakan Pendekatan The Golden Rules Of User Interface Design,penelitian
Analisis User Interface Game “Babybus Kids” Sub Topik Penyelamat dalam Gempa menggunakan Pendekatan The Golden Rules Of User Interface Design,penelitian
Analisis User Interface Pada Website Program Studi Desain Komunikasi Visual Universitas Dian Nuswantoro,penelitian
Analysis & Implementation of Six Sigma Methods: The Case of PPSDM Migas Cepu,penelitian
ANALYSIS INSTAGRAM CONTENT IN THE POLITICAL COMMUNICATION STRATEGIES OF THE 2024 INDONESIA PRESIDENTIAL CANDIDATES,penelitian
Analysis of Imputation Methods of Small and Unbalanced Datasets in Classifications using Naïve Bayes and Particle Swarm Optimization,penelitian
Antlion Optimizer Algorithm Modification for Initial Centroid Determination in K-means Algorithm,penelitian
Aplikasi BRT Trans Semarang Berbasis Android,penelitian
APLIKASI GAME EDUKASI MATEMATIKA DAN BAHASA INGGRIS BAGI ANAK SEKOLAH DASAR,penelitian
Aplikasi Gamifikasi Pembelajaran Bahasa Inggris Berbasis Augmented Reality,penelitian
Aplikasi Gamifikasi Pembelajaran Bahasa Inggris Berbasis Augmented Reality,penelitian
Aplikasi Genetika Untuk Penjadwalan Mata Pelajaran di SMAN 3 Semarang,penelitian
Aplikasi Genetika Untuk Penjadwalan Mata Pelajaran di SMAN 3 Semarang,penelitian
APLIKASI MENGENAL AKSARA JAWA DENGAN ALGORITMA SHUFFLE RANDOM BERBASIS ANDROID UNTUK MENDUKUNG BELAJAR MANDIRI,penelitian
APLIKASI MENGENAL AKSARA JAWA DENGAN ALGORITMA SHUFFLE RANDOM BERBASIS ANDROID UNTUK MENDUKUNG BELAJAR MANDIRI,penelitian
APLIKASI MENGENAL AKSARA JAWA DENGAN ALGORITMA SHUFFLE RANDOM BERBASIS ANDROID UNTUK MENDUKUNG BELAJAR MANDIRI ,penelitian
Aplikasi mengenal candi pada pelajaran sejarah untuk Sekolah Dasar Kelas IV dengan Virtual Reality,penelitian
APLIKASI PEMBELAJARAN CLASS DIAGRAM BERBASIS WEB  UNTUK PENDIDIKAN REKAYASA PERANGKAT LUNAK,penelitian
Aplikasi Startup Pembanding Harga Produk Offline,penelitian
Aplikasi Startup Pembanding Harga Produk Offline,penelitian
Aplikasi Stok Audit di PT. Media Sarana Data Berbasis Android Dengan Arsitektur Model View Presenter,penelitian
Aplikasi Web Services Untuk Mengintegrasikan Layanan Reservasi Online Dengan Sistem Rawat Jalan Berbasis Desktop ,penelitian
Application of forward selection strategy using C4. 5 algorithm to improve the accuracy of classification’s data set,penelitian
Appreciative Learning for Immersive Reward System in Education Game Development,penelitian
Architecture development of middleware and API for IOT-based Red Onion farming,penelitian
"Artificial Intelligence (Ai) & Ethics Profiling (Akeru, Bunka, Syuu Kan, Sai Seisan) ijistech (International Journal of Information System and Technology)",penelitian
"Artificial Intelligence (Ai) & Ethics Profiling (Akeru, Bunka, Syuu Kan, Sai Seisan) ijistech (International Journal of Information System and Technology)",penelitian
Artificial Intelligence Berbasis QSPR Dalam Kajian Inhibitor Korosi,penelitian
Artificial Intelligence Berbasis QSPR Dalam Kajian Inhibitor Korosi,penelitian
Artificial Intelligence Berbasis QSPR Dalam Kajian Inhibitor Korosi,penelitian
Aspect based sentiment analysis a systematic literature review,penelitian
"Aspect Based Sentiment Analysis for Explicit and Implicit Aspects in Restaurant Review using Grammatical Rules, Hybrid Approach, and SentiCircle",penelitian
Aspect Based Sentiment Analysis: A Systematic Literature Review,penelitian
"Aspect-Based Sentiment Analysis for Hotel Review Using LDA, Semantic Similarity, and BERT",penelitian
"Aspect-Based Sentiment Analysis for Sentence Types with Implicit Aspect and Explicit Opinion in Restaurant Review Using Grammatical Rules, Hybrid Approach, and SentiCircle",penelitian
Attendence Management system using RFID Technology,penelitian
"Attention-based Sentence Extraction for Aspect-based Sentiment Analysis with Implicit Aspect Cases in Hotel Review Using Machine Learning Algorithm, Semantic Similarity, and BERT",penelitian
Attribute Selection Techniques to Clustering the Entrepreneurial Potential of Student based on Academic Behavior,penelitian
Automatic Web Service Composition for SaaS Business Intelligence,penelitian
BIG DATA PIPELINE INFRASTRUCTURE DESIGN IN MSME E-COMMERCE SYSTEMS WITH A FOCUS ON DATA SOURCE PROCESSING USING ORCHESTRATION TOOLS,penelitian
Big Data Pipeline Infrastructure Design in MSME E-Commerce Systems with a Focus on Data Source Processing Using Orchestration Tools,penelitian
"Biological aspects of Leptobrama pectoralis Ramsay and Ogilby 1887 (Leptobramidae) in Merauke, Papua, Indonesia",penelitian
Bird Voice Classification Based on Combination Feature Extraction and Reduction Dimension with the K-Nearest Neighbor,penelitian
Bird Voice Classification Based on Combination Feature Extraction and Reduction Dimension with the K-Nearest Neighbor,penelitian
Bird Voice Classification Based on Combination Feature Extraction and Reduction Dimension with the K-Nearest Neighbor,penelitian
Block-based arnold chaotic map for image encryption,penelitian
BLUEPRINT FOR RECORDING DATA ON RED ONION FARMING ACTIVITIES USING THE BPR METHOD,penelitian
Board Game Design for Conservation Organization: A study on the Board Game for Campaign on Indonesian Javan Hawk-Eagle Conservation Foundation,penelitian
Bonding Emotional Appeal as Strategic Digital Communication of State-Owned Enterprises,penelitian
BPNNOptimization With Genetic Algorithm For Classification of Tobacco Leaves With GLCM Extraction Features,penelitian
Brain Tumor Identification using FCM Threshold Method and Morphological Area Selection,penelitian
Brain Tumor Identification using FCM Threshold Method and Morphological Area Selection,penelitian
Brain tumor segmentation using multi-level Otsu thresholding and Chan-Vese active contour model ,penelitian
Budaya Penggemar BTS dalam Komunitasbts_armysemarang,penelitian
Business Process Design With BPR Life Cycle in Fertilizer Provision,penelitian
Business process reengineering for red onion E-commerce system,penelitian
BUSINESS PROCESS REENGINEERING SUPPLY CHAIN MANAGEMENT SYSTEM BASED BLOCKCHAIN USING BPR LC,penelitian
BUSINESS PROCESS REENGINEERING SUPPLY CHAIN MANAGEMENT SYSTEM BASED BLOCKCHAIN USING BPR LC,penelitian
BUSINESS PROCESS REENGINEERING SUPPLY CHAIN MANAGEMENT SYSTEM BASED BLOCKCHAIN USING BPR LC,penelitian
Business Prospects Prediction for Waqf Lands Using Naïve Bayes And Apriori Algorithm,penelitian
Business Prospects Prediction for Waqf Lands Using Naïve Bayes And Apriori Algorithm,penelitian
Capitalization Feature and Learning Rate for Improving NER Based on RNN BiLSTM-CRF,penelitian
Case Studies on Neural Networks for Prediction in Health/Diseases Problems,penelitian
Case Studies on Neural Networks for Prediction in Health/Diseases Problems,penelitian
Celebrity Endorsement dan Citra Produk Halal Dalam Membangun Loyalitas Merek: Studi pada Kosmetik Wardah,penelitian
"Challenges in developing virtual reality, augmented reality and mixed-reality applications: Case Studies on a 3D-based tangible cultural heritage conservation",penelitian
"Challenges in developing virtual reality, augmented reality and mixed-reality applications: Case Studies on a 3D-based tangible cultural heritage conservation",penelitian
Characteristics of coral reef fisheries in the Wakatobi islands,penelitian
Characteristics of octopus fishery in Ampana Tojo Una-Una Sea waters,penelitian
"CHILD VALUE, NUMBER OF CHILDREN AND USE OF CONTRACEPTIVE DEVICES FOR FERTILE AGE COUPLES",penelitian
Clarias Size Clustering to Determine Market Segmentation Using K-Means Algorithm,penelitian
Classification of Banana Maturity Levels Based on Skin Image with HSI Color Space Transformation Features Using the K-NN Method,penelitian
Classification of Banana Maturity Levels Based on Skin Image with HSI Color Space Transformation Features Using the K-NN Method,penelitian
Classification of bird based on face types using gray level co-occurrence matrix (GLCM) feature extraction based on the k-nearest neighbor (K-NN) algorithm,penelitian
Classification of Guarantee Types Using Leaf Feature Extraction with Minutiae and GLCM Using K-NN Method,penelitian
Classification of Guarantee Types Using Leaf Feature Extraction with Minutiae and GLCM Using K-NN Method,penelitian
Classification of Lombok Pearls using GLCM Feature Extraction and Artificial Neural Networks (ANN),penelitian
Classification of lombok pearls using GLCM feature extraction and Artificial Neural Networks (ANN) ,penelitian
Classification of Toxic Plants on Leaf Patterns Using Gray Level Co-Occurrence Matrix (GLCM) with Neural Network Method,penelitian
Classification of Toxic Plants on Leaf Patterns Using Gray Level Co-Occurrence Matrix (GLCM) with Neural Network Method,penelitian
Classification of Troso Fabric Using SVM-RBF Multi-class Method with GLCM and PCA Feature Extraction,penelitian
Classification of Troso Fabric Using SVM-RBF Multi-class Method with GLCM and PCA Feature Extraction,penelitian
Clustered Logistic Regression Algorithm for Flight Delay Prediction,penelitian
Cnc Machine Design (Computer Numeric Control) Mini Plotter For Arduino Based Souvenir Craft,penelitian
CNN for Image Identification of Hiragana Based on Pattern Recognition Using CNN,penelitian
"College Student's Perception toward"" Peduli Lindungi"" Application through the Usability Scale Method",penelitian
"COMMUNICATION IN THE DEVELOPMENT OF TOURISM ECOLOGY AND PLACEMAKING OF KEMAMBANG VILLAGE, AMBARAWA",penelitian
"COMMUNICATION IN THE DEVELOPMENT OF TOURISM ECOLOGY AND PLACEMAKING OF KEMAMBANG VILLAGE, AMBARAWA",penelitian
Comparative Analysis of the Performance Testing Results of the Backtracking and Genetics Algorithm in Solving Sudoku Games,penelitian
Comparative Study of Classification Algorithms for Website Phishing Detection on Multiple Datasets,penelitian
Comparing Haar Cascade and YOLOFACE for Region of Interest Classification in Drowsiness Detection,penelitian
Comparing Haar Cascade and YOLOFACE for Region of Interest Classification in Drowsiness Detection,penelitian
Comparing Haar Cascade and YOLOFACE for Region of Interest Classification in Drowsiness Detection,penelitian
Comparing Optimizer Strategies For Enhancing Emotion Classification In IndoBERT Models,penelitian
Comparing Optimizer Strategies For Enhancing Emotion Classification In IndoBERT Models,penelitian
Comparison Method in Indonesian Emotion Speech Classification,penelitian
"Comparison of Acoustic Characteristic among Electronic, Human-Played and Robot-Played Demung",penelitian
Comparison Of Arrival Classification Of Outpatient Patients Based On Appointment Using Adaboost And Random Undersampling Methods,penelitian
Comparison Of Arrival Classification Of Outpatient Patients Based On Appointment Using Adaboost And Random Undersampling Methods,penelitian
Comparison of Clustering Methods for Health Clinic Stock Goods,penelitian
Comparison of Grid Search and Evolutionary Parameter Optimization with Neural Networks on JCI Stock Price Movements during the Covid 19,penelitian
Comparison of Hyperparameter Optimization Techniques in Hybrid CNN-LSTM Model for Heart Disease Classification,penelitian
COMPARISON OF SIFT AND ORB METHODS IN IDENTIFYING THE FACE OF BUDDHA STATUE,penelitian
COMPARISON OF SIFT AND ORB METHODS IN IDENTIFYING THE FACE OF BUDDHA STATUE,penelitian
COMPARISON OF SIFT AND ORB METHODS IN IDENTIFYING THE FACE OF BUDDHA STATUE,penelitian
Comparison of Stemming Test Results of Tala Algorithms with Nazief Adriani in Abstract Documents and National News,penelitian
Comparison of Stemming Test Results of Tala Algorithms with Nazief Adriani in Abstract Documents and National News,penelitian
"Compression Run Length Encoding On Watermarking Using a Combination of DCT, DWT and SVD",penelitian
Conditional Matting For Post-Segmentation Refinement Segment Anything Model,penelitian
Construction of Corrupt Behavior Practices of Village Officials through Web Portals in Indonesia 2019,penelitian
Contemporary design and structural analysis in the development of a gamelan musician robot model,penelitian
CONTENT ANALYSIS OF SPICE UP THE WORLD CAMPAIGN CONTENT ON GOOGLE ARTS AND CULTURE PLATFORM: Analisis Isi Konten Kampanye Spice Up The World Pada Platform Google Arts and Culture,penelitian
Continous Formative Assessment pada Pendekatan Hybrid Learning: Sebuah Study Evaluasi Persepsi,penelitian
CONTRIBUTION OF ONLINE MEDIA CITIZEN JOURNALISM TO CREATE CITY IMAGES,penelitian
Cooperative Language Learning in Speaking Class,penelitian
COVID-19 Suspects Monitoring System Based on Symptom recognition using Deep Neural Network,penelitian
Critical Framing Analysis: Violence Against Women on Online Media,penelitian
Cryptospatial blockchain sharia hotel based on practical Byzantine fault tolerance,penelitian
Cryptospatial Coordinate Using The Rpca Based On A Point In Polygon Test For Cultural Heritage Tourism,penelitian
Customer Segmentation with RFM Model using Fuzzy C-Means and Genetic Programming,penelitian
Dampak Non Performing Loan Terhadap Peningkatan Pendapatan Perusahaan di Sektor Jasa Perbankan,penelitian
Data Mining Applications for Violence Pattern Analysis with FP-Growth Algorithm,penelitian
"Data Security Using Color Image Based on Beaufort Cipher, Column Transposition and Least Significant Bit (LSB)",penelitian
Data-Driven Modeling of Human Development Index in Eastern Indonesia's Region Using Gaussian Techniques Empowered by Machine Learning,penelitian
D-band Center Theory for the Case of Hydrogen Atom Adsorption on Fe(100) and Al(100) Surfaces: A Density Functional Study,penelitian
Debate on the Plan of Making Fiqh Waria: Framing Analysis in Online Media,penelitian
Decision Support System Pembukaan Lokasi Baru Jasa Servis Motor Berbasis Profile Matching,penelitian
Decision Support System Pembukaan Lokasi Baru Jasa Servis Motor Berbasis Profile Matching,penelitian
Decision Tree Simplification Through Feature Selection Approach In Selecting Fish Feed Sellers,penelitian
Decision Tree Simplification Through Feature Selection Approach In Selecting Fish Feed Sellers,penelitian
Deep Convolution Neural Network to solve Problems for Appel Leaf Disease Detection,penelitian
Deep Convolution Neural Network to solve Problems for Appel Leaf Disease Detection,penelitian
Deep Learning Jaringan Saraf Tiruan Untuk Pemecahan Masalah Deteksi Penyakit Daun Apel,penelitian
Deep Learning Jaringan Saraf Tiruan Untuk Pemecahan Masalah Deteksi Penyakit Daun Apel,penelitian
Deep Learning Jaringan Saraf Tiruan Untuk PemecahanMasalahDeteksi Penyakit Daun Apel,penelitian
Deep Learning Model In Road Surface Condition Monitoring,penelitian
Demand Prediction for Food and Beverage SMEs Using SARIMAX and Weather Data,penelitian
Density functional study of methyl butanoate adsorption and its C–O bonds cleavage on MoS2 -based catalyst with various loads of Ni promoters,penelitian
Desain Aplikasi SALIM sebagai Media Pembelajaran untuk Menanggulangi Tindakan Kenakalan Remaja,penelitian
Desain Aplikasi Virtual Reality untuk Mengenalkan Sejarah Artefak Di Masjid Agung Demak,penelitian
Desain grafis untuk meningkatkan nilai kaligrafi pada santri dan pengurus Pondok Pesantren Al-Hadi Kabupaten Demak,penelitian
Desain grafis untuk meningkatkan nilai kaligrafi pada santri dan pengurus Pondok Pesantren Al-Hadi Kabupaten Demak,penelitian
Desain Knowledge Management System pada Program Studi Sebagai Media Berbagi Pengetahuan,penelitian
Desain Knowledge Management System pada Program Studi Sebagai Media Berbagi Pengetahuan,penelitian
Desain Signage System Sebagai Media Informasi Kawasan Simpang Lima Semarang Berbasis Komputer Grafis,penelitian
Design and Evaluation of Virtual Compression Testing Machine Based on Multilayer Perceptron for Vocational-Education Virtual Laboratory.,penelitian
Design and Implementation mDPBL Teaching Approach to Improve Students' Creative Thinking Skill,penelitian
Design and implementation of centralized reading system on analog postpaid water meter,penelitian
DESIGN OF IOT AND ONION AGRICULTURE DATABASE USING BPR LIFE CYCLE,penelitian
Design of the Seven Stages of Educational Game to Generate Gamification,penelitian
Designing a Listening Quiz Through Android-Based Application,penelitian
Designing a Listening Quiz Through Android-Based Application,penelitian
Designing The Concept of Innovation Profiling with Case Study,penelitian
Designing the Concept of Leaderships Intelligence (CI2.1) Version 2.0 inside Social Media Using Ken Watanabe Problem Solving 101 Methods,penelitian
Designing the Concept of Start-up & Mentoring Profiling Inside New Normal University,penelitian
Designing The Concepts - Framework & The Maturity Level Of Smart Pondok Pesantren (Islamic Boarding Schools),penelitian
Designing The Concepts - The Maturity Level of Career Development Smart Pondok Pesantren (Islamic Boarding Schools),penelitian
Designing The Concepts of “The Maturity Level of Netizen”: How To Manage Comment & Critics Profiling 1.0,penelitian
Designing The Concepts Of “The Maturity Level Of Netizen”: How To Manage Comment & Critics Profiling 1.0,penelitian
Designing The Concepts-Framework & The Maturity Level Of Smart Pondok Pesantren (Islamic Boarding Schools),penelitian
Designing The Concepts-The Maturity Level of Career Development Smart Pondok Pesantren (Islamic Boarding Schools),penelitian
Deteksi Dini Covid-19 Melalui Citra CT-Scan Paru-Paru Menggunakan K-Nearest Neighbor dengan Komparasi Jarak,penelitian
Deteksi Dini Covid-19 Melalui Citra CT-Scan Paru-Paru Menggunakan K-Nearest Neighbor dengan Komparasi Jarak,penelitian
Deteksi Kesehatan Janin Menggunakan Decision Tree dan Feature Forward Selection,penelitian
Deteksi Malware Dridex Menggunakan Signature-based Snort,penelitian
Deteksi Malware menggunakan Metode Stacking berbasis Ensemble,penelitian
Deteksi Pornografi pada Karakter Animasi 2D dengan KNN (K-Nearest Neighbors) Menggunakan Fitur HSV,penelitian
Developing “Anti-Cyberbullying Intelligence” Inside Social Media Using Johari Window-Ken Watanabe-Problem Solving 101 Methods,penelitian
Developing “Leadership Intelligence (CI2) Framework” Inside Social Media to Develop an Ethical Leader using the Johari Window Method,penelitian
Developing “Leadership Intelligence (CI2) Framework” Inside Social Media to Develop an Ethical Leader using the Johari Window Method,penelitian
Developing “Leadership Intelligence (CI2) Framework” Inside Social Media to Develop an Ethical Leader using the Johari Window Method,penelitian
Developing A Techno-Family Through Virtual-Reality Benthix Game,penelitian
Developing an Indonesia's health literacy short-form survey questionnaire (HLS-EU-SQ10-IDN) using the feature selection and genetic algorithm,penelitian
Developing Animaker-Based Animation Videos on the Theme of “Daerah Tempat Tinggalku” at Grade IV SDN Banjarsari 2 Serang,penelitian
Developing BacaBicara: An Indonesian lipreading System as an independent communication learning for the deaf and hard-of-hearing,penelitian
Developing The 7 Stages of Startup (The Maturity Level of Startup): The Concepts of Startup Development Methodology,penelitian
Developing The Concepts & Strategy of Smart Regional: How to Increase Tourism & Investors (Smart city 4.0),penelitian
Developing The Concepts & Strategy of Smart Regional: How to Increase Tourism & Investors (Smart city 4.0),penelitian
Development and validation of an instrument for measuring competencies on public health informatics of primary health care worker (PHIC4PHC) in Indonesia,penelitian
Development of Fishery Marketplace Applications Using Prototype Methods,penelitian
Development of Mobile e-Participation System to Enhance e-Government Performance,penelitian
Development of Sam Contemporary Font Typeface Based on Sam Poo Kong Temple Ornament,penelitian
Development of Website-Based Stunting Prevention Educational Media Services (Case Study UPT Puskemas Tirto Pekalongan),penelitian
DIABETES MELLITUS ATTRIBUTE CLASSIFICATION USING THE NAIVE BAYES ALGORITHM BASED ON FORWARD SELECTION,penelitian
DIABETES MELLITUS ATTRIBUTE CLASSIFICATION USING THE NAIVE BAYES ALGORITHM BASED ON FORWARD SELECTION ,penelitian
Diabetic Retinopathy Grade Classification based on Fractal Analysis and Random Forest,penelitian
Diabetic Retinopathy Grade Classification based on Fractal Analysis and Random Forest,penelitian
